Species,current_clim_current_lc,current_clim_future_SSP5_lc,future_clim_current_lc,future_clim_future_SSP5_lc,change_rel_lc,change_rel_cc,change_rel_both,additive,additive_new,add_diff,combined,Family,Threat_status,Range_area,add_sign,comb_sign,threatened
Amietia_angolensis,205193.01438422326,181989.90440793434,0,0,-11.30794342386392,-100,-100,-111.30794342386392,-122.61588684772784,-11.307943423863918,-100,PYXICEPHALIDAE,LC,28.4858515209,-,-,Not-threatened
Amietia_chapini,616.976226705798,613.5202864066915,0,0,-0.5601415661602849,-100,-100,-100.56014156616028,-101.12028313232058,-0.5601415661602971,-100,PYXICEPHALIDAE,LC,3.3067489125905203,-,-,Not-threatened
Amietia_delalandii,10090.195684950715,10024.525543442385,324.8811316033892,321.71990569813846,-0.6508311985096115,-96.7802296234161,-96.81155930228414,-97.43106082192571,-98.06093675030417,-0.6298759283784534,-96.81155930228414,PYXICEPHALIDAE,LC,157.185413438,-,-,Not-threatened
Amietia_desaegeri,8859.305150880491,8737.819262138117,77.56240426043395,72.81536916388009,-1.3712801023712373,-99.12450916929161,-99.1780916457467,-100.49578927166286,-101.8550639424745,-1.3592746708116437,-99.1780916457467,PYXICEPHALIDAE,LC,1.82052634018,-,-,Not-threatened
Amietia_dracomontana,2109.2099845088323,1855.7161960919377,0,0,-12.018423498783372,-100,-100,-112.01842349878338,-124.03684699756674,-12.018423498783363,-100,PYXICEPHALIDAE,LC,0.487002063505,-,-,Not-threatened
Amietia_fuscigula,259639.52001893206,246550.13073848386,0,0,-5.041370157938116,-100,-100,-105.04137015793812,-110.08274031587621,-5.04137015793809,-100,PYXICEPHALIDAE,LC,31.6623965364,-,-,Not-threatened
Amietia_hymenopus,6.4667665050645455,6.4667665050645455,0,0,0,-100,-100,-100,-100,0,-100,PYXICEPHALIDAE,NT,0.582095589483,-,-,Not-threatened
Amietia_inyangae,0.45291445928967483,0.45291445928967483,0,0,0,-100,-100,-100,-100,0,-100,PYXICEPHALIDAE,EN,0.0507693182905,-,-,Threatened
Amietia_lubrica,170.4964820934505,170.4964820934505,0,0,0,-100,-100,-100,-100,0,-100,PYXICEPHALIDAE,DD,0.0608003223934,-,-,Not-applicable
Amietia_moyerorum,556.0204521067867,525.2278283202608,0,0,-5.538037975015362,-100,-100,-105.53803797501536,-111.07607595003071,-5.5380379750153566,-100,PYXICEPHALIDAE,LC,3.18077212938,-,-,Not-threatened
Amietia_nutti,72901.2227428153,72066.08367838862,0,0,-1.1455762098434565,-100,-100,-101.14557620984345,-102.29115241968691,-1.1455762098434548,-100,PYXICEPHALIDAE,LC,48.2013091842,-,-,Not-threatened
Amietia_poyntoni,743120.7418254622,700046.7836472935,221167.61896063507,225674.4813771652,-5.796360638832173,-70.23799680017801,-69.63151898804493,-76.03435743901018,-80.10560503903992,-4.071247600029736,-69.63151898804493,PYXICEPHALIDAE,LC,94.8622344822,-,-,Not-threatened
Amietia_ruwenzorica,1473.6312114135262,1469.7386872230386,127.40773039206657,127.40773039206657,-0.2641450696985347,-91.3541645015882,-91.3541645015882,-91.61830957128673,-91.85961709278199,-0.24130752149525847,-91.3541645015882,PYXICEPHALIDAE,LC,0.338127030436,-,-,Not-threatened
Amietia_tenuoplicata,2298.5251349405603,2292.3957817109836,0,0,-0.2666646162098741,-100,-100,-100.26666461620988,-100.53332923241976,-0.26666461620988,-100,PYXICEPHALIDAE,LC,0.5380668848252,-,-,Not-threatened
Amietia_vandijki,1276.763109582791,1276.763109582791,0,0,0,-100,-100,-100,-100,0,-100,PYXICEPHALIDAE,LC,0.284981512246,-,-,Not-threatened
Amietia_vertebralis,60.37611917653092,60.37611917653092,0,0,0,-100,-100,-100,-100,0,-100,PYXICEPHALIDAE,LC,1.80884476397,-,-,Not-threatened
Amietia_wittei,3891.1652657757813,3018.898978583819,404.0812194858978,391.9255611407781,-22.41658289006285,-89.6154187271371,-89.92780993940539,-112.03200161719994,-132.12071623844554,-20.0887146212456,-89.92780993940539,PYXICEPHALIDAE,LC,1.583955579484,-,-,Not-threatened
Amnirana_albolabris,2323121.837220557,2406495.9268094744,0,0,3.588881489257931,-100,-100,-96.41111851074207,-92.82223702148413,3.5888814892579433,-100,RANIDAE,LC,299.431243457,-,-,Not-threatened
Amnirana_amnicola,307545.5577429752,282246.0300126696,0,0,-8.226269927608291,-100,-100,-108.22626992760829,-116.45253985521657,-8.226269927608286,-100,RANIDAE,LC,29.6892323990353,-,-,Not-threatened
